paper_id,source_url,doi
07-TRAN KHOA NGUYEN(52-60)030,https://doi.org/10.22144/ctu.jen.2021.030,10.22144/ctu.jen.2021.030
08-1148-HO NGOC TON(58-68)323,https://doi.org/10.22144/ctujoisd.2024.323,10.22144/ctujoisd.2024.323
08-479-NS-TRAN THANH TUAN(64-70)008,https://doi.org/10.22144/ctu.jen.2023.008,10.22144/ctu.jen.2023.008
08-586-B-DO TAN KHANG(60-67)021,https://doi.org/10.22144/ctu.jen.2023.021,10.22144/ctu.jen.2023.021
08-630-CHERY FERNANDEZ(81-91)053,https://doi.org/10.22144/ctujoisd.2023.053,10.22144/ctujoisd.2023.053
08-655-LONG DUONG(76-87)260,https://doi.org/10.22144/ctujoisd.2024.260,10.22144/ctujoisd.2024.260
08-693-HONG QUAN NGUYEN(62-75)036,https://doi.org/10.22144/ctujoisd.2023.036,10.22144/ctujoisd.2023.036
08-768-VU AN TRAN(51-57)281,https://doi.org/10.22144/ctujoisd.2024.281,10.22144/ctujoisd.2024.281
08-819-Peter Sanjo Adewale(75-84)293,https://doi.org/10.22144/ctujoisd.2024.293,10.22144/ctujoisd.2024.293
08-855-PHAN THI ANH TUYET(71-83)308,https://doi.org/10.22144/ctujoisd.2024.308,10.22144/ctujoisd.2024.308
08-AE-BUI THUY VY(65-79)008,https://doi.org/10.22144/ctu.jen.2017.008,10.22144/ctu.jen.2017.008
08-AE-TRAN VAN DUNG(52-62)43,https://doi.org/10.22144/ctu.jen.2016.043,10.22144/ctu.jen.2016.043
08-AV-TRAN NGOC BICH(56-62)027,https://doi.org/10.22144/ctu.jen.2017.027,10.22144/ctu.jen.2017.027
08-BE-NGO THI PHUONG DUNG(47-52),,
08-CE-NGO VAN THIEN(66-70)008,https://doi.org/10.22144/ctu.jen.2021.008,10.22144/ctu.jen.2021.008
08-E9-NGUYEN DUY TAN(54-61)095,https://doi.org/10.22144/ctu.jsi.2018.095,10.22144/ctu.jsi.2018.095
